day,S,I,R,D,beta,gamma,mu,R0
0,999.0,0.0,0.0,4.409365934535326,0.1,0.06,0.003,1.5873015873015874
1,998.896852412026,0.0,0.062227304837113605,0.0,0.10268917926710303,0.062142682737583645,0.003,1.5763732003603403
2,998.7869499095277,6.807798868533574,0.12906414738094488,0.0,0.1053567068439591,0.06421649788897611,0.003,1.567423328391499
3,998.669896038954,6.387834773163333,0.20070066028078487,0.0,0.10798110536700026,0.06615479132887087,0.003,1.5614406940147922
4,998.5452804932054,13.67464928767218,0.2772691363858295,0.0,0.1105412447224403,0.06789526471127655,0.003,1.5592190137468755
5,998.4126722239731,16.307306662707166,0.3588439880567194,0.9547419192985154,0.11301651217352676,0.06938197778961636,0.003,1.5613902192893612
6,998.2716113734461,4.059916392820982,0.44544427963138244,0.0,0.1153869783221772,0.07056714638228086,0.003,1.568457986974046
7,998.1216002020834,5.480955522953453,0.5370385808512526,4.381724878151067,0.1176335575687742,0.07141267819554184,0.003,1.5808268217366992
8,997.9620933849252,0.0,0.6335518034924982,0.0,0.11973816177819137,0.0718913971412152,0.003,1.5988239817774144
9,997.7924880011427,0.0,0.7348737993241907,0.6976827273743246,0.12168384591482176,0.07198791679849578,0.003,1.6227127130602281
10,997.6121137510756,0.0,0.840869090371569,4.257166395231065,0.12345494447404089,0.07169913494618188,0.003,1.6526957716844495
11,997.4202238131428,0.0,0.951387658343246,0.7757353014982818,0.1250371976116391,0.07103433327061741,0.003,1.688908268473103
12,997.2159869590694,0.0,1.0662764930473843,0.42682284322774094,0.12641786595570215,0.07001487904465563,0.003,1.7313986903735805
13,996.9984815543432,3.9679454511093066,1.185391887142523,1.8354604651581303,0.1275858331765435,0.0686735383659287,0.003,1.7800967565624433
14,996.7666921390073,0.0,1.3086126276988423,0.0,0.1285316954888546,0.06705342302750968,0.003,1.8347668098728132
15,996.519509436083,19.996281706242257,1.4358544167504235,0.0,0.12924783736545473,0.0652066048694107,0.003,1.894946062964348
16,996.2557346618362,19.85381329204382,1.567085967090226,0.14048002160985398,0.12972849285303806,0.0631924421468001,0.003,1.9598686594056938
17,995.9740891166638,10.773665387971075,1.7023473061999397,0.0,0.12996979199623945,0.061075671706841195,0.003,2.0283797037801934
18,995.6732300972039,11.076803820644301,1.8417707796125726,0.0,0.12996979199623945,0.058924328293158794,0.003,2.0988486363702408
